IDVendedor;Nome;IDDestino;País;Cidade;ValorVenda;Qtde;Departamento;Passageiro;CiaAérea;Categoria
15.008;Hefesto;BRA-1931;Brasil;Miraselva;1.904,00;7;MANUFATURA;COLABORADOR;TAP PORTUGAL;Plus
15.008;Hefesto;BRA-0529;Brasil;Bonfinópolis;840;12;AUDITORIA;TERCEIRO;LUFTHANSA;Gold
15.008;Hefesto;BRA-2609;Brasil;Rio Fortuna;2.116,00;8;COMERCIO EXTERIOR;COLABORADOR;AMERICAN AIRLINES;Plus
15.008;Hefesto;BRA-0074;Brasil;Benjamin Constant;1.286,00;10;CONTROLADORIA;TERCEIRO;ETIHAD AIRWAYS;Plus
15.008;Hefesto;BRA-2614;Brasil;Santa Cecília;818;5;CONTROLADORIA;COLABORADOR;TAM LINHAS AÉREAS;Gold
15.008;Hefesto;BRA-2546;Brasil;Iraceminha;1.516,00;14;DESENV. DE EMBALAGENS;COLABORADOR;AEROLINEAS ARGENTINAS;Gold
15.008;Hefesto;BRA-1762;Brasil;Nova Santa Rita;2.077,00;20;DESENV. DE EMBALAGENS;COLABORADOR;AVIANCA;Premium
15.008;Hefesto;BRA-1770;Brasil;Patos do Piauí;2.145,00;20;GER LOGISTICA;TERCEIRO;UNITED AIRLINES;Gold
15.008;Hefesto;BRA-2546;Brasil;Iraceminha;1.516,00;2;GER SUPRIMENTOS;TEMPORÁRIO;PASSAREDO LINHAS AÉREAS;Plus
15.008;Hefesto;BRA-1735;Brasil;Fronteiras;1.017,00;1;SEG. SAUDE E MEIO AMBIENTE;COLABORADOR;DELTA AIRLINES;Premium
15.008;Hefesto;BRA-1765;Brasil;Oeiras;1.729,00;1;TREINAMENTO E DESENV.;COLABORADOR;AEROLINEAS ARGENTINAS;Gold
15.008;Hefesto;BRA-1931;Brasil;Miraselva;1.904,00;7;MANUFATURA;COLABORADOR;TAP PORTUGAL;Plus
15.008;Hefesto;BRA-0920;Brasil;Elói Mendes;1.082,00;13;CONTROLADORIA;COLABORADOR;UNITED AIRLINES;Gold
15.008;Hefesto;BRA-0017;Brasil;Campo Alegre;790;18;ENGENHARIA;TERCEIRO;GOL LINHAS AÉREAS;Plus
15.008;Hefesto;BRA-2730;Brasil;Barra do Turvo;1.785,00;2;LOGISTICA;TEMPORÁRIO;AEROLINEAS ARGENTINAS;Gold
15.008;Hefesto;BRA-1369;Brasil;Santa Cruz do Xingu;1.613,00;14;SEG. SAUDE E MEIO AMBIENTE;COLABORADOR;AIR EUROPA;Platinum
15.008;Hefesto;BRA-1507;Brasil;Fagundes;2.153,00;10;TREINAMENTO E DESENV.;TEMPORÁRIO;GOL LINHAS AÉREAS;Plus
15.008;Hefesto;BRA-2118;Brasil;Natal;2.193,00;7;AUDITORIA;COLABORADOR;AEROLINEAS ARGENTINAS;Gold
15.008;Hefesto;DIN-3170;Dinamarca;Kobenhavn;1.132,00;1;GER LOGISTICA;TERCEIRO;TURKISH AIRLINES INC;Plus
15.008;Hefesto;BRA-1033;Brasil;Marliéria;1.854,00;12;GARANTIA DA QUALIDADE;COLABORADOR;LUFTHANSA;Gold
15.008;Hefesto;BRA-2074;Brasil;Arês;2.187,00;9;GER SUPRIMENTOS;COLABORADOR;LAN CHILE;Premium
15.008;Hefesto;DIN-3171;Dinamarca;arhus;961;8;SEG. SAUDE E MEIO AMBIENTE;TERCEIRO;CHINA EASTERN AIRLINES;Plus
15.008;Hefesto;BRA-1455;Brasil;São Sebastião da Boa Vista;1.056,00;10;SEG. SAUDE E MEIO AMBIENTE;TERCEIRO;EMIRATES AIRLINE;Gold
15.008;Hefesto;BRA-2118;Brasil;Natal;2.193,00;7;AUDITORIA;COLABORADOR;AEROLINEAS ARGENTINAS;Gold
15.008;Hefesto;BRA-2159;Brasil;Venha-Ver;924;8;MANUFATURA;TEMPORÁRIO;ETIHAD AIRWAYS;Plus
15.008;Hefesto;BRA-2649;Brasil;Xanxerê;938;10;MANUFATURA;COLABORADOR;LAN CHILE;Premium
15.008;Hefesto;BRA-0504;Brasil;Venda Nova do Imigrante;1.879,00;18;MANUFATURA;COLABORADOR;TAP PORTUGAL;Plus
15.008;Hefesto;BRA-2586;Brasil;Painel;953;17;AUDITORIA;TERCEIRO;SETE LINHAS AEREAS S/A;Gold
15.008;Hefesto;BRA-2544;Brasil;Ipuaçu;666;13;COMERCIO EXTERIOR;TEMPORÁRIO;UNITED AIRLINES;Gold
15.008;Hefesto;BRA-0310;Brasil;Santo Antônio de Jesus;1.372,00;15;ENGENHARIA;COLABORADOR;DELTA AIRLINES;Premium
15.008;Hefesto;MEX-3202;México;México D.F.;1.367,00;7;ENGENHARIA;COLABORADOR;TURKISH AIRLINES INC;Plus
15.008;Hefesto;BRA-1397;Brasil;Cachoeira do Arari;1.668,00;12;LOGISTICA;TERCEIRO;AMERICAN AIRLINES;Plus
15.008;Hefesto;BRA-0200;Brasil;Guanambi;1.289,00;1;LOGISTICA;COLABORADOR;GOL LINHAS AÉREAS;Plus
15.008;Hefesto;BRA-1044;Brasil;Medina;2.038,00;6;LOGISTICA;COLABORADOR;LUFTHANSA;Gold
15.008;Hefesto;BRA-2329;Brasil;Maçambará;1.599,00;16;LOGISTICA;TEMPORÁRIO;TAM LINHAS AÉREAS;Gold
15.008;Hefesto;VEN-3216;Venezuela;Ilha de Margarita;1.316,00;15;LOGISTICA;TERCEIRO;TAP PORTUGAL;Plus
15.008;Hefesto;IRL-3198;Irlanda;Cork;984;13;LOGISTICA;TERCEIRO;UNITED AIRLINES;Gold
15.008;Hefesto;BRA-1448;Brasil;São Domingos do Capim;2.044,00;6;LOGISTICA;TEMPORÁRIO;UNITED AIRLINES;Gold
15.008;Hefesto;BRA-2101;Brasil;Jardim de Angicos;1.730,00;5;TREINAMENTO E DESENV.;TEMPORÁRIO;AIR CANADÁ;Plus
15.008;Hefesto;BRA-2159;Brasil;Venha-Ver;924;8;MANUFATURA;TEMPORÁRIO;ETIHAD AIRWAYS;Plus
15.008;Hefesto;BRA-0504;Brasil;Venda Nova do Imigrante;1.879,00;18;MANUFATURA;COLABORADOR;TAP PORTUGAL;Plus
15.008;Hefesto;IRL-3198;Irlanda;Cork;984;3;COMERCIO EXTERIOR;COLABORADOR;AIR EUROPA;Platinum
15.008;Hefesto;CAN-3168;Canadá;Tsawassen;1.819,00;2;COMERCIO EXTERIOR;TEMPORÁRIO;TAM LINHAS AÉREAS;Gold
15.008;Hefesto;BRA-0032;Brasil;Jundiá;1.931,00;3;DESENV. DE EMBALAGENS;TERCEIRO;CHINA EASTERN AIRLINES;Plus
15.008;Hefesto;BRA-0849;Brasil;Capinópolis;1.840,00;6;ENGENHARIA;TEMPORÁRIO;AMERICAN AIRLINES;Plus
15.008;Hefesto;BRA-0767;Brasil;Timon;1.799,00;7;GER LOGISTICA;COLABORADOR;AMERICAN AIRLINES;Plus
15.008;Hefesto;VEN-3216;Venezuela;Ilha de Margarita;1.316,00;7;GER LOGISTICA;TERCEIRO;AVIANCA;Premium
15.008;Hefesto;BRA-1179;Brasil;São Geraldo;1.798,00;6;GER LOGISTICA;TERCEIRO;EMIRATES AIRLINE;Gold
15.008;Hefesto;BRA-0994;Brasil;Jampruca;2.139,00;14;GER SUPRIMENTOS;TEMPORÁRIO;AEROLINEAS ARGENTINAS;Gold
15.008;Hefesto;BRA-1553;Brasil;Riacho dos Cavalos;1.621,00;12;GER SUPRIMENTOS;TERCEIRO;DELTA AIRLINES;Premium
15.008;Hefesto;BRA-2705;Brasil;Américo Brasiliense;1.745,00;7;SEG. SAUDE E MEIO AMBIENTE;TERCEIRO;AIR EUROPA;Platinum
15.008;Hefesto;BRA-0710;Brasil;Marajá do Sena;885;2;SEG. SAUDE E MEIO AMBIENTE;TEMPORÁRIO;AIR FRANCE;Premium
15.008;Hefesto;BRA-2677;Brasil;Nossa Senhora Aparecida;1.023,00;11;SEG. SAUDE E MEIO AMBIENTE;COLABORADOR;AZUL LINHAS AÉREAS BRASILEIRAS;Gold
15.008;Hefesto;BRA-0261;Brasil;Mucuri;1.507,00;5;MANUFATURA;TERCEIRO;AIR EUROPA;Platinum
15.008;Hefesto;BRA-1686;Brasil;Agricolândia;1.672,00;11;MANUFATURA;TERCEIRO;DELTA AIRLINES;Premium
15.008;Hefesto;BRA-0443;Brasil;Reriutaba;761;16;MANUFATURA;TEMPORÁRIO;ETIHAD AIRWAYS;Plus
15.008;Hefesto;BRA-0002;Brasil;Bujari;668;20;COMERCIO EXTERIOR;TEMPORÁRIO;LUFTHANSA;Gold
15.008;Hefesto;BRA-1682;Brasil;Vicência;1.843,00;11;CONTROLADORIA;TEMPORÁRIO;SETE LINHAS AEREAS S/A;Gold
15.008;Hefesto;BRA-2719;Brasil;Artur Nogueira;1.272,00;18;CONTROLADORIA;TERCEIRO;TAM LINHAS AÉREAS;Gold
15.008;Hefesto;BRA-2348;Brasil;Muitos Capões;1.234,00;7;DESENV. DE EMBALAGENS;TEMPORÁRIO;ETIHAD AIRWAYS;Plus
15.008;Hefesto;BRA-0451;Brasil;São João do Jaguaribe;1.891,00;11;ENGENHARIA;TERCEIRO;EMIRATES AIRLINE;Gold
15.008;Hefesto;BRA-2988;Brasil;Santa Cruz da Conceição;808;16;GARANTIA DA QUALIDADE;TERCEIRO;DELTA AIRLINES;Premium
15.008;Hefesto;BRA-2788;Brasil;Embu das Artes;1.450,00;3;GARANTIA DA QUALIDADE;TERCEIRO;EMIRATES AIRLINE;Gold
15.008;Hefesto;BRA-0214;Brasil;Ipecaetá;1.460,00;3;GER SUPRIMENTOS;TEMPORÁRIO;DELTA AIRLINES;Premium
15.008;Hefesto;CAN-3167;Canadá;Montréal;1.454,00;12;GER SUPRIMENTOS;TEMPORÁRIO;TAP PORTUGAL;Plus
15.008;Hefesto;BRA-2970;Brasil;Ribeirão Bonito;1.994,00;3;LOGISTICA;TERCEIRO;PASSAREDO LINHAS AÉREAS;Plus
15.008;Hefesto;BRA-0675;Brasil;Bom Jardim;1.916,00;10;TREINAMENTO E DESENV.;COLABORADOR;TAP PORTUGAL;Plus
15.008;Hefesto;BRA-0261;Brasil;Mucuri;1.507,00;5;MANUFATURA;TERCEIRO;AIR EUROPA;Platinum
15.008;Hefesto;BRA-1686;Brasil;Agricolândia;1.672,00;11;MANUFATURA;TERCEIRO;DELTA AIRLINES;Premium
15.008;Hefesto;BRA-0443;Brasil;Reriutaba;761;16;MANUFATURA;TEMPORÁRIO;ETIHAD AIRWAYS;Plus
15.008;Hefesto;BRA-0046;Brasil;Olho d'Água do Casado;1.659,00;8;MANUFATURA;TEMPORÁRIO;AIR EUROPA;Platinum
15.008;Hefesto;DIN-3171;Dinamarca;arhus;961;18;MANUFATURA;COLABORADOR;LAN CHILE;Premium
15.008;Hefesto;BRA-2802;Brasil;Florínea;1.187,00;13;COMERCIO EXTERIOR;TEMPORÁRIO;AIR CANADÁ;Plus
15.008;Hefesto;BRA-0101;Brasil;Tabatinga;2.086,00;20;DESENV. DE EMBALAGENS;TERCEIRO;TURKISH AIRLINES INC;Plus
15.008;Hefesto;VEN-3215;Venezuela;Barquisimeto;699;14;GER LOGISTICA;COLABORADOR;EMIRATES AIRLINE;Gold
15.008;Hefesto;BRA-1394;Brasil;Breu Branco;1.446,00;11;GER SUPRIMENTOS;TEMPORÁRIO;TAP PORTUGAL;Plus
15.008;Hefesto;BRA-0800;Brasil;Bandeira;1.419,00;1;GER SUPRIMENTOS;TEMPORÁRIO;UNITED AIRLINES;Gold
15.008;Hefesto;BRA-2288;Brasil;Floriano Peixoto;791;9;GER SUPRIMENTOS;COLABORADOR;UNITED AIRLINES;Gold
15.008;Hefesto;BRA-2981;Brasil;Salmourão;1.686,00;7;LOGISTICA;TERCEIRO;PASSAREDO LINHAS AÉREAS;Plus
15.008;Hefesto;BRA-0849;Brasil;Capinópolis;1.840,00;14;SEG. SAUDE E MEIO AMBIENTE;TEMPORÁRIO;TURKISH AIRLINES INC;Plus
15.008;Hefesto;BRA-0046;Brasil;Olho d'Água do Casado;1.659,00;8;MANUFATURA;TEMPORÁRIO;AIR EUROPA;Platinum
15.008;Hefesto;DIN-3171;Dinamarca;arhus;961;18;MANUFATURA;COLABORADOR;LAN CHILE;Premium
15.008;Hefesto;BRA-1051;Brasil;Miravânia;1.666,00;20;MANUFATURA;COLABORADOR;AZUL LINHAS AÉREAS BRASILEIRAS;Gold
15.008;Hefesto;REI-3208;Reino Unido;Colchester;2.031,00;15;MANUFATURA;COLABORADOR;DELTA AIRLINES;Premium
