IDVendedor;Nome;IDDestino;País;Cidade;ValorVenda;Qtde;Departamento;Passageiro;CiaAérea;Categoria
15.001;Afrodite;BRA-1405;Brasil;Curuçá;1.420,00;9;MANUFATURA;TEMPORÁRIO;AIR EUROPA;Platinum
15.001;Afrodite;BRA-0999;Brasil;Jequitaí;673;1;MANUFATURA;COLABORADOR;AMERICAN AIRLINES;Plus
15.001;Afrodite;BRA-1992;Brasil;Santo Antônio do Paraíso;1.579,00;6;MANUFATURA;COLABORADOR;DELTA AIRLINES;Premium
15.001;Afrodite;DIN-3170;Dinamarca;Kobenhavn;1.132,00;10;MANUFATURA;TEMPORÁRIO;UNITED AIRLINES;Gold
15.001;Afrodite;BRA-1174;Brasil;São Brás do Suaçuí;662;20;AUDITORIA;TERCEIRO;GOL LINHAS AÉREAS;Plus
15.001;Afrodite;BRA-2579;Brasil;Morro Grande;1.695,00;20;COMERCIO EXTERIOR;TEMPORÁRIO;AIR CHINA;Plus
15.001;Afrodite;NOR-3203;Noruega;Stavern;1.995,00;20;COMERCIO EXTERIOR;COLABORADOR;AMERICAN AIRLINES;Plus
15.001;Afrodite;BRA-2547;Brasil;Irani;1.252,00;4;DESENVOLVIMENTO DE EMBALAGENS;COLABORADOR;AEROLINEAS ARGENTINAS;Gold
15.001;Afrodite;BRA-0430;Brasil;Orós;2.026,00;18;DESENVOLVIMENTO DE EMBALAGENS;TEMPORÁRIO;AEROLINEAS ARGENTINAS;Gold
15.001;Afrodite;BRA-0227;Brasil;Itapetinga;1.706,00;6;GARANTIA DA QUALIDADE;TERCEIRO;SETE LINHAS AEREAS S/A;Gold
15.001;Afrodite;BRA-2201;Brasil;Alegria;992;17;LOGISTICA;TERCEIRO;PASSAREDO LINHAS AÉREAS;Plus
15.001;Afrodite;BRA-1941;Brasil;Nova Santa Rosa;1.428,00;14;SEG  SAUDE E MEIO AMBIENTE;TEMPORÁRIO;AIR CANADÁ;Plus
15.001;Afrodite;BRA-1833;Brasil;Borrazópolis;1.239,00;16;SEG  SAUDE E MEIO AMBIENTE;TEMPORÁRIO;BRITSH AIRWAYS;Plus
15.001;Afrodite;BRA-0581;Brasil;Itapaci;2.164,00;16;SEG  SAUDE E MEIO AMBIENTE;TERCEIRO;EMIRATES AIRLINE;Gold
15.001;Afrodite;BRA-1411;Brasil;Igarapé-Mirim;1.932,00;19;TREINAMENTO E DESENVOLVIMENTO;TERCEIRO;BRITSH AIRWAYS;Plus
15.001;Afrodite;BRA-1403;Brasil;Curionópolis;1.762,00;8;TREINAMENTO E DESENVOLVIMENTO;COLABORADOR;LAN CHILE;Premium
15.001;Afrodite;BRA-2810;Brasil;Guaimbê;1.686,00;17;TREINAMENTO E DESENVOLVIMENTO;TERCEIRO;LUFTHANSA;Gold
15.001;Afrodite;BRA-1405;Brasil;Curuçá;1.420,00;9;MANUFATURA;TEMPORÁRIO;AIR EUROPA;Platinum
15.001;Afrodite;BRA-0484;Brasil;Linhares;2.182,00;20;MANUFATURA;COLABORADOR;AIR CHINA;Plus
15.001;Afrodite;CAN-3167;Canadá;Montréal;1.454,00;10;MANUFATURA;COLABORADOR;LAN CHILE;Premium
15.001;Afrodite;CAN-3167;Canadá;Montréal;1.454,00;12;MANUFATURA;COLABORADOR;LAN CHILE;Premium
15.001;Afrodite;BRA-1703;Brasil;Bonfim do Piauí;1.091,00;12;AUDITORIA;TERCEIRO;AEROLINEAS ARGENTINAS;Gold
15.001;Afrodite;BRA-1033;Brasil;Marliéria;1.854,00;4;AUDITORIA;COLABORADOR;AIR EUROPA;Platinum
15.001;Afrodite;BRA-1498;Brasil;Coxixola;1.930,00;17;AUDITORIA;TERCEIRO;AMERICAN AIRLINES;Plus
15.001;Afrodite;BRA-1899;Brasil;Itaperuçu;1.092,00;18;COMERCIO EXTERIOR;TEMPORÁRIO;TURKISH AIRLINES INC;Plus
15.001;Afrodite;BRA-2187;Brasil;São Francisco do Guaporé;801;17;CONTROLADORIA;TERCEIRO;ETIHAD AIRWAYS;Plus
15.001;Afrodite;BRA-1522;Brasil;Lagoa de Dentro;1.415,00;5;CONTROLADORIA;TEMPORÁRIO;UNITED AIRLINES;Gold
15.001;Afrodite;BRA-2940;Brasil;Pilar do Sul;1.294,00;12;ENGENHARIA;COLABORADOR;BRITSH AIRWAYS;Plus
15.001;Afrodite;BRA-2123;Brasil;Pau dos Ferros;2.081,00;14;ENGENHARIA;COLABORADOR;TAM LINHAS AÉREAS;Gold
15.001;Afrodite;BRA-0423;Brasil;Milhã;760;7;GER LOGISTICA;TERCEIRO;AIR EUROPA;Platinum
15.001;Afrodite;BRA-0471;Brasil;Bom Jesus do Norte;1.186,00;8;LOGISTICA;TEMPORÁRIO;AIR CANADÁ;Plus
15.001;Afrodite;BRA-1546;Brasil;Pilõezinhos;1.904,00;9;LOGISTICA;TERCEIRO;AVIANCA;Premium
15.001;Afrodite;BRA-2760;Brasil;Capivari;2.081,00;9;SEG  SAUDE E MEIO AMBIENTE;TEMPORÁRIO;PASSAREDO LINHAS AÉREAS;Plus
15.001;Afrodite;BRA-0484;Brasil;Linhares;2.182,00;20;MANUFATURA;COLABORADOR;AIR CHINA;Plus
15.001;Afrodite;CAN-3167;Canadá;Montréal;1.454,00;12;MANUFATURA;COLABORADOR;LAN CHILE;Premium
