IDVendedor;Nome;IDDestino;País;Cidade;ValorVenda;Qtde;Departamento;Passageiro;CiaAérea;Categoria
16.011;Poseidon;BRA-0189;Brasil;Entre Rios;1.944,00;3;MANUFATURA;COLABORADOR;AMERICAN AIRLINES;Plus
16.011;Poseidon;BRA-2157;Brasil;Touros;1.421,00;1;MANUFATURA;COLABORADOR;TURKISH AIRLINES INC;Plus
16.011;Poseidon;BRA-2770;Brasil;Chavantes;1.434,00;12;AUDITORIA;TEMPORÁRIO;ETIHAD AIRWAYS;Plus
16.011;Poseidon;BRA-1366;Brasil;Rondolândia;667;18;COMERCIO EXTERIOR;COLABORADOR;AIR EUROPA;Platinum
16.011;Poseidon;BRA-0008;Brasil;Rio Branco;1.769,00;9;CONTROLADORIA;TEMPORÁRIO;AIR FRANCE;Premium
16.011;Poseidon;BRA-2981;Brasil;Salmourão;1.686,00;11;DESENV. DE EMBALAGENS;TEMPORÁRIO;AEROLINEAS ARGENTINAS;Gold
16.011;Poseidon;BRA-2841;Brasil;Itaporanga;1.996,00;16;DESENV. DE EMBALAGENS;TEMPORÁRIO;BRITSH AIRWAYS;Plus
16.011;Poseidon;BRA-2662;Brasil;Divina Pastora;1.697,00;2;ENGENHARIA;TEMPORÁRIO;AIR CHINA;Plus
16.011;Poseidon;BRA-0633;Brasil;Santa Rita do Novo Destino;829;10;ENGENHARIA;TERCEIRO;GOL LINHAS AÉREAS;Plus
16.011;Poseidon;BRA-1841;Brasil;Cândido de Abreu;2.005,00;4;ENGENHARIA;TEMPORÁRIO;LAN CHILE;Premium
16.011;Poseidon;BRA-0845;Brasil;Cantagalo;1.594,00;8;ENGENHARIA;TEMPORÁRIO;LAN CHILE;Premium
16.011;Poseidon;BRA-2707;Brasil;Analândia;1.370,00;14;ENGENHARIA;COLABORADOR;TAP PORTUGAL;Plus
16.011;Poseidon;BRA-2671;Brasil;Macambira;1.405,00;17;GER LOGISTICA;COLABORADOR;LAN CHILE;Premium
16.011;Poseidon;BRA-0582;Brasil;Itapuranga;848;20;GARANTIA DA QUALIDADE;TERCEIRO;AZUL LINHAS AÉREAS BRASILEIRAS;Gold
16.011;Poseidon;VEN-3214;Venezuela;Caracas;1.271,00;20;GARANTIA DA QUALIDADE;COLABORADOR;PASSAREDO LINHAS AÉREAS;Plus
16.011;Poseidon;DIN-3170;Dinamarca;Kobenhavn;1.132,00;15;GARANTIA DA QUALIDADE;TEMPORÁRIO;UNITED AIRLINES;Gold
16.011;Poseidon;BRA-0192;Brasil;Eunápolis;1.628,00;1;GER SUPRIMENTOS;TEMPORÁRIO;AIR EUROPA;Platinum
16.011;Poseidon;BRA-0340;Brasil;Terra Nova;888;11;GER SUPRIMENTOS;TERCEIRO;GOL LINHAS AÉREAS;Plus
16.011;Poseidon;VEN-3215;Venezuela;Barquisimeto;699;3;LOGISTICA;COLABORADOR;BRITSH AIRWAYS;Plus
16.011;Poseidon;VEN-3215;Venezuela;Barquisimeto;699;2;LOGISTICA;COLABORADOR;BRITSH AIRWAYS;Plus
16.011;Poseidon;BRA-0322;Brasil;Serra do Ramalho;1.934,00;6;LOGISTICA;COLABORADOR;PASSAREDO LINHAS AÉREAS;Plus
16.011;Poseidon;BRA-0467;Brasil;Aracruz;2.089,00;20;SEG. SAUDE E MEIO AMBIENTE;TEMPORÁRIO;AIR CANADÁ;Plus
16.011;Poseidon;BRA-2157;Brasil;Touros;1.421,00;1;MANUFATURA;COLABORADOR;TURKISH AIRLINES INC;Plus
16.011;Poseidon;BRA-0594;Brasil;Marzagão;1.095,00;17;AUDITORIA;TERCEIRO;AMERICAN AIRLINES;Plus
16.011;Poseidon;BRA-0247;Brasil;Lauro de Freitas;1.748,00;13;MANUFATURA;TEMPORÁRIO;AZUL LINHAS AÉREAS BRASILEIRAS;Gold
16.011;Poseidon;BRA-2890;Brasil;Mirante do Paranapanema;1.531,00;15;MANUFATURA;TEMPORÁRIO;UNITED AIRLINES;Gold
16.011;Poseidon;BRA-2996;Brasil;Santa Salete;2.077,00;9;AUDITORIA;TEMPORÁRIO;LAN CHILE;Premium
16.011;Poseidon;BRA-1308;Brasil;Sidrolândia;1.469,00;4;COMERCIO EXTERIOR;TEMPORÁRIO;BRITSH AIRWAYS;Plus
16.011;Poseidon;BRA-1256;Brasil;Vespasiano;1.577,00;14;CONTROLADORIA;TERCEIRO;UNITED AIRLINES;Gold
16.011;Poseidon;BRA-1556;Brasil;Salgado de São Félix;1.068,00;11;ENGENHARIA;TEMPORÁRIO;AIR CANADÁ;Plus
16.011;Poseidon;BRA-3026;Brasil;Sebastianópolis do Sul;1.869,00;11;ENGENHARIA;COLABORADOR;EMIRATES AIRLINE;Gold
16.011;Poseidon;BRA-0254;Brasil;Malhada;1.583,00;14;ENGENHARIA;TEMPORÁRIO;GOL LINHAS AÉREAS;Plus
16.011;Poseidon;BRA-1685;Brasil;Acauã;767;3;ENGENHARIA;TERCEIRO;LAN CHILE;Premium
16.011;Poseidon;BRA-0403;Brasil;Iracema;885;5;GER LOGISTICA;COLABORADOR;AMERICAN AIRLINES;Plus
16.011;Poseidon;BRA-2897;Brasil;Mongaguá;1.076,00;4;GER LOGISTICA;TEMPORÁRIO;LAN CHILE;Premium
16.011;Poseidon;BRA-0260;Brasil;Medeiros Neto;1.024,00;20;GER LOGISTICA;TERCEIRO;UNITED AIRLINES;Gold
16.011;Poseidon;BRA-2681;Brasil;Poço Redondo;1.452,00;20;GER LOGISTICA;COLABORADOR;UNITED AIRLINES;Gold
16.011;Poseidon;BRA-0102;Brasil;Tefé;1.075,00;2;GARANTIA DA QUALIDADE;TERCEIRO;AIR FRANCE;Premium
16.011;Poseidon;BRA-1132;Brasil;Raposos;1.368,00;5;GARANTIA DA QUALIDADE;COLABORADOR;UNITED AIRLINES;Gold
16.011;Poseidon;BRA-2059;Brasil;São Fidélis;1.388,00;11;GER SUPRIMENTOS;TEMPORÁRIO;AIR EUROPA;Platinum
16.011;Poseidon;BRA-1491;Brasil;Caldas Brandão;1.002,00;14;GER SUPRIMENTOS;TERCEIRO;TURKISH AIRLINES INC;Plus
16.011;Poseidon;BRA-0841;Brasil;Campos Altos;1.791,00;1;LOGISTICA;TERCEIRO;LAN CHILE;Premium
16.011;Poseidon;VEN-3216;Venezuela;Ilha de Margarita;1.316,00;20;SEG. SAUDE E MEIO AMBIENTE;TEMPORÁRIO;AIR CANADÁ;Plus
16.011;Poseidon;BRA-0899;Brasil;Cristina;1.212,00;13;SEG. SAUDE E MEIO AMBIENTE;TERCEIRO;AIR EUROPA;Platinum
16.011;Poseidon;BRA-0317;Brasil;São Francisco do Conde;2.117,00;16;SEG. SAUDE E MEIO AMBIENTE;COLABORADOR;LAN CHILE;Premium
16.011;Poseidon;POR-3205;Portugal;Lisboa;972;3;SEG. SAUDE E MEIO AMBIENTE;TERCEIRO;TAP PORTUGAL;Plus
16.011;Poseidon;BRA-2474;Brasil;Westfália;1.705,00;7;TREINAMENTO E DESENV.;COLABORADOR;SETE LINHAS AEREAS S/A;Gold
16.011;Poseidon;BRA-2890;Brasil;Mirante do Paranapanema;1.531,00;15;MANUFATURA;TEMPORÁRIO;UNITED AIRLINES;Gold
16.011;Poseidon;MEX-3202;México;México D.F.;1.367,00;18;AUDITORIA;TEMPORÁRIO;AVIANCA;Premium
