IDVendedor;Nome;IDDestino;País;Cidade;ValorVenda;Qtde;Departamento;Passageiro;CiaAérea;Categoria
15.010;Hermes;BRA-1163;Brasil;Santa Vitória;1.113,00;9;AUDITORIA;COLABORADOR;AVIANCA;Premium
15.010;Hermes;NOR-3203;Noruega;Stavern;1.995,00;17;COMERCIO EXTERIOR;COLABORADOR;AMERICAN AIRLINES;Plus
15.010;Hermes;BRA-0930;Brasil;Eugenópolis;1.176,00;17;GER SUPRIMENTOS;TEMPORÁRIO;TURKISH AIRLINES INC;Plus
15.010;Hermes;VEN-3215;Venezuela;Barquisimeto;699;8;LOGISTICA;COLABORADOR;BRITSH AIRWAYS;Plus
15.010;Hermes;BRA-1086;Brasil;Paiva;1.857,00;19;LOGISTICA;TERCEIRO;BRITSH AIRWAYS;Plus
15.010;Hermes;BRA-2655;Brasil;Areia Branca;1.945,00;2;DESENV. DE EMBALAGENS;TERCEIRO;CHINA EASTERN AIRLINES;Plus
15.010;Hermes;BRA-0444;Brasil;Russas;1.025,00;19;MANUFATURA;COLABORADOR;GOL LINHAS AÉREAS;Plus
15.010;Hermes;CAN-3167;Canadá;Montréal;1.454,00;8;MANUFATURA;COLABORADOR;LAN CHILE;Premium
15.010;Hermes;BRA-0510;Brasil;Acreúna;2.034,00;16;COMERCIO EXTERIOR;COLABORADOR;AIR EUROPA;Platinum
15.010;Hermes;BRA-0421;Brasil;Mauriti;1.361,00;12;COMERCIO EXTERIOR;TEMPORÁRIO;UNITED AIRLINES;Gold
15.010;Hermes;BRA-0795;Brasil;Araxá;1.073,00;11;MANUFATURA;TEMPORÁRIO;LAN CHILE;Premium
15.010;Hermes;MEX-3202;México;México D.F.;1.367,00;13;AUDITORIA;TEMPORÁRIO;AVIANCA;Premium
15.010;Hermes;BRA-2421;Brasil;São José das Missões;1.625,00;4;COMERCIO EXTERIOR;COLABORADOR;LUFTHANSA;Gold
15.010;Hermes;BRA-0998;Brasil;Jequeri;998;15;DESENV. DE EMBALAGENS;TERCEIRO;EMIRATES AIRLINE;Gold
15.010;Hermes;BRA-0837;Brasil;Campestre;887;3;AUDITORIA;TEMPORÁRIO;AIR FRANCE;Premium
15.010;Hermes;BRA-2545;Brasil;Ipumirim;1.869,00;11;AUDITORIA;TERCEIRO;TAP PORTUGAL;Plus
15.010;Hermes;CAN-3169;Canadá;Vancouver;1.417,00;6;COMERCIO EXTERIOR;TEMPORÁRIO;TURKISH AIRLINES INC;Plus
15.010;Hermes;BRA-1060;Brasil;Montezuma;1.929,00;3;CONTROLADORIA;TERCEIRO;SETE LINHAS AEREAS S/A;Gold
15.010;Hermes;BRA-2998;Brasil;Santana de Parnaíba;976;1;MANUFATURA;TERCEIRO;AMERICAN AIRLINES;Plus
15.010;Hermes;BRA-1468;Brasil;Aroeiras;742;10;MANUFATURA;COLABORADOR;TAM LINHAS AÉREAS;Gold
15.010;Hermes;BRA-0136;Brasil;Barra do Rocha;945;17;AUDITORIA;TEMPORÁRIO;BRITSH AIRWAYS;Plus
15.010;Hermes;BRA-2641;Brasil;Treviso;743;10;SEG. SAUDE E MEIO AMBIENTE;COLABORADOR;EMIRATES AIRLINE;Gold
15.010;Hermes;BRA-2240;Brasil;Capela de Santana;1.267,00;14;COMERCIO EXTERIOR;TEMPORÁRIO;AIR EUROPA;Platinum
15.010;Hermes;BRA-0734;Brasil;Pio XII;1.409,00;12;COMERCIO EXTERIOR;COLABORADOR;BRITSH AIRWAYS;Plus
15.010;Hermes;BRA-0468;Brasil;Atílio Vivácqua;1.748,00;16;COMERCIO EXTERIOR;TEMPORÁRIO;DELTA AIRLINES;Premium
15.010;Hermes;BRA-0304;Brasil;Santa Cruz Cabrália;1.054,00;15;COMERCIO EXTERIOR;COLABORADOR;TAM LINHAS AÉREAS;Gold
15.010;Hermes;BRA-0584;Brasil;Itumbiara;916;14;COMERCIO EXTERIOR;TEMPORÁRIO;TAP PORTUGAL;Plus
15.010;Hermes;NOR-3203;Noruega;Stavern;1.995,00;17;COMERCIO EXTERIOR;TEMPORÁRIO;TURKISH AIRLINES INC;Plus
15.010;Hermes;BRA-3044;Brasil;Taubaté;901;16;CONTROLADORIA;COLABORADOR;TAM LINHAS AÉREAS;Gold
15.010;Hermes;BRA-2284;Brasil;Faxinalzinho;1.528,00;15;DESENV. DE EMBALAGENS;COLABORADOR;PASSAREDO LINHAS AÉREAS;Plus
15.010;Hermes;BRA-2026;Brasil;Campos dos Goytacazes;947;3;GER LOGISTICA;TERCEIRO;AIR FRANCE;Premium
15.010;Hermes;BRA-0507;Brasil;Vila Velha;1.861,00;16;MANUFATURA;TEMPORÁRIO;TURKISH AIRLINES INC;Plus
15.010;Hermes;BRA-1050;Brasil;Miraí;1.671,00;18;AUDITORIA;TERCEIRO;TAM LINHAS AÉREAS;Gold
15.010;Hermes;CAN-3167;Canadá;Montréal;1.454,00;10;GER SUPRIMENTOS;TEMPORÁRIO;TAP PORTUGAL;Plus
15.010;Hermes;CAN-3169;Canadá;Vancouver;1.417,00;10;LOGISTICA;TERCEIRO;AVIANCA;Premium
15.010;Hermes;VEN-3215;Venezuela;Barquisimeto;699;4;TREINAMENTO E DESENV.;TEMPORÁRIO;BRITSH AIRWAYS;Plus
15.010;Hermes;VEN-3215;Venezuela;Barquisimeto;699;12;TREINAMENTO E DESENV.;TEMPORÁRIO;BRITSH AIRWAYS;Plus
15.010;Hermes;BRA-2029;Brasil;Carmo;879;14;TREINAMENTO E DESENV.;COLABORADOR;CHINA EASTERN AIRLINES;Plus
15.010;Hermes;BRA-1449;Brasil;São Félix do Xingu;744;4;AUDITORIA;TEMPORÁRIO;BRITSH AIRWAYS;Plus
15.010;Hermes;BRA-1576;Brasil;Serra Branca;2.199,00;11;AUDITORIA;TERCEIRO;DELTA AIRLINES;Premium
