IDVendedor;Nome;IDDestino;País;Cidade;ValorVenda;Qtde;Departamento;Passageiro;CiaAérea;Categoria
15.004;Artemis;DIN-3170;Dinamarca;Kobenhavn;1.132,00;2;MANUFATURA;TEMPORÁRIO;UNITED AIRLINES;Gold
15.004;Artemis;DIN-3170;Dinamarca;Kobenhavn;1.132,00;1;MANUFATURA;TEMPORÁRIO;UNITED AIRLINES;Gold
15.004;Artemis;BRA-1027;Brasil;Manhumirim;1.693,00;18;AUDITORIA;COLABORADOR;AZUL LINHAS AÉREAS BRASILEIRAS;Gold
15.004;Artemis;BRA-2860;Brasil;Júlio Mesquita;955;12;COMERCIO EXTERIOR;COLABORADOR;AIR EUROPA;Platinum
15.004;Artemis;BRA-0920;Brasil;Elói Mendes;1.082,00;16;DESENV. DE EMBALAGENS;TEMPORÁRIO;EMIRATES AIRLINE;Gold
15.004;Artemis;BRA-0373;Brasil;Cariús;1.274,00;1;DESENV. DE EMBALAGENS;COLABORADOR;BRITSH AIRWAYS;Plus
15.004;Artemis;BRA-2556;Brasil;Jaborá;1.854,00;16;ENGENHARIA;COLABORADOR;SETE LINHAS AEREAS S/A;Gold
15.004;Artemis;BRA-2553;Brasil;Itapiranga;1.327,00;11;GER LOGISTICA;TERCEIRO;BRITSH AIRWAYS;Plus
15.004;Artemis;BRA-0803;Brasil;Barbacena;1.873,00;7;SEG. SAUDE E MEIO AMBIENTE;TEMPORÁRIO;CHINA EASTERN AIRLINES;Plus
15.004;Artemis;FRA-3197;França;Versailles;2.014,00;2;SEG. SAUDE E MEIO AMBIENTE;TEMPORÁRIO;TAP PORTUGAL;Plus
15.004;Artemis;BRA-0211;Brasil;Igaporã;1.266,00;6;TREINAMENTO E DESENV.;COLABORADOR;TAP PORTUGAL;Plus
15.004;Artemis;BRA-0999;Brasil;Jequitaí;673;1;MANUFATURA;COLABORADOR;AMERICAN AIRLINES;Plus
15.004;Artemis;DIN-3170;Dinamarca;Kobenhavn;1.132,00;2;MANUFATURA;TEMPORÁRIO;UNITED AIRLINES;Gold
15.004;Artemis;DIN-3170;Dinamarca;Kobenhavn;1.132,00;1;MANUFATURA;TEMPORÁRIO;UNITED AIRLINES;Gold
15.004;Artemis;BRA-2974;Brasil;Ribeirão Preto;1.417,00;5;MANUFATURA;TEMPORÁRIO;AIR CHINA;Plus
15.004;Artemis;BRA-0772;Brasil;Vargem Grande;864;7;AUDITORIA;TEMPORÁRIO;ETIHAD AIRWAYS;Plus
15.004;Artemis;BRA-0585;Brasil;Ivolândia;1.311,00;13;AUDITORIA;COLABORADOR;LAN CHILE;Premium
15.004;Artemis;BRA-1286;Brasil;Fátima do Sul;2.108,00;12;AUDITORIA;TERCEIRO;TURKISH AIRLINES INC;Plus
15.004;Artemis;BRA-1961;Brasil;Prudentópolis;821;9;COMERCIO EXTERIOR;COLABORADOR;AIR CANADÁ;Plus
15.004;Artemis;BRA-2546;Brasil;Iraceminha;1.516,00;1;COMERCIO EXTERIOR;TEMPORÁRIO;UNITED AIRLINES;Gold
15.004;Artemis;BRA-1075;Brasil;Novo Cruzeiro;1.761,00;4;GARANTIA DA QUALIDADE;TEMPORÁRIO;LUFTHANSA;Gold
15.004;Artemis;BRA-1050;Brasil;Miraí;1.671,00;7;SEG. SAUDE E MEIO AMBIENTE;TEMPORÁRIO;AIR EUROPA;Platinum
15.004;Artemis;BRA-1746;Brasil;Joca Marques;1.851,00;17;LOGISTICA;TEMPORÁRIO;CHINA EASTERN AIRLINES;Plus
15.004;Artemis;BRA-1016;Brasil;Liberdade;955;9;SEG. SAUDE E MEIO AMBIENTE;TEMPORÁRIO;AMERICAN AIRLINES;Plus
15.004;Artemis;BRA-2348;Brasil;Muitos Capões;1.234,00;20;SEG. SAUDE E MEIO AMBIENTE;TERCEIRO;BRITSH AIRWAYS;Plus
15.004;Artemis;BRA-2417;Brasil;São Borja;1.136,00;9;SEG. SAUDE E MEIO AMBIENTE;TERCEIRO;GOL LINHAS AÉREAS;Plus
15.004;Artemis;POR-3205;Portugal;Lisboa;972;16;SEG. SAUDE E MEIO AMBIENTE;TERCEIRO;TAP PORTUGAL;Plus
15.004;Artemis;BRA-0865;Brasil;Cássia;718;5;MANUFATURA;TEMPORÁRIO;AIR CHINA;Plus
15.004;Artemis;BRA-0168;Brasil;Casa Nova;798;12;MANUFATURA;TEMPORÁRIO;AEROLINEAS ARGENTINAS;Gold
15.004;Artemis;BRA-1884;Brasil;Guairaçá;843;7;MANUFATURA;COLABORADOR;AIR CANADÁ;Plus
15.004;Artemis;BRA-0293;Brasil;Riacho de Santana;2.177,00;18;MANUFATURA;TEMPORÁRIO;AZUL LINHAS AÉREAS BRASILEIRAS;Gold
15.004;Artemis;MEX-3202;México;México D.F.;1.367,00;10;AUDITORIA;TEMPORÁRIO;AVIANCA;Premium
15.004;Artemis;BRA-2274;Brasil;Ernestina;706;5;AUDITORIA;TERCEIRO;EMIRATES AIRLINE;Gold
15.004;Artemis;DIN-3170;Dinamarca;Kobenhavn;1.132,00;1;AUDITORIA;TEMPORÁRIO;GOL LINHAS AÉREAS;Plus
15.004;Artemis;DIN-3170;Dinamarca;Kobenhavn;1.132,00;11;AUDITORIA;TEMPORÁRIO;GOL LINHAS AÉREAS;Plus
15.004;Artemis;BRA-0299;Brasil;Rio Real;2.068,00;15;AUDITORIA;TEMPORÁRIO;UNITED AIRLINES;Gold
15.004;Artemis;BRA-2637;Brasil;Tigrinhos;1.610,00;15;COMERCIO EXTERIOR;TEMPORÁRIO;TAM LINHAS AÉREAS;Gold
15.004;Artemis;BRA-1638;Brasil;Lagoa do Ouro;1.650,00;13;COMERCIO EXTERIOR;COLABORADOR;TAP PORTUGAL;Plus
15.004;Artemis;BRA-1126;Brasil;Prata;1.391,00;7;CONTROLADORIA;TEMPORÁRIO;AMERICAN AIRLINES;Plus
15.004;Artemis;BRA-0990;Brasil;Itumirim;1.613,00;20;CONTROLADORIA;TERCEIRO;UNITED AIRLINES;Gold
15.004;Artemis;BRA-3000;Brasil;Santo André;1.072,00;15;DESENV. DE EMBALAGENS;TEMPORÁRIO;LAN CHILE;Premium
15.004;Artemis;BRA-0385;Brasil;Ererê;1.135,00;3;ENGENHARIA;TEMPORÁRIO;AMERICAN AIRLINES;Plus
15.004;Artemis;BRA-1557;Brasil;Santa Cruz;1.660,00;2;GARANTIA DA QUALIDADE;TERCEIRO;AIR CHINA;Plus
15.004;Artemis;BRA-0826;Brasil;Buritis;1.535,00;7;GARANTIA DA QUALIDADE;COLABORADOR;EMIRATES AIRLINE;Gold
15.004;Artemis;BRA-0368;Brasil;Bela Cruz;1.730,00;20;LOGISTICA;COLABORADOR;PASSAREDO LINHAS AÉREAS;Plus
15.004;Artemis;BRA-0991;Brasil;Iturama;1.824,00;14;SEG. SAUDE E MEIO AMBIENTE;COLABORADOR;AIR EUROPA;Platinum
15.004;Artemis;BRA-0201;Brasil;Guaratinga;1.378,00;4;SEG. SAUDE E MEIO AMBIENTE;TEMPORÁRIO;EMIRATES AIRLINE;Gold
15.004;Artemis;BRA-2799;Brasil;Flora Rica;1.436,00;16;SEG. SAUDE E MEIO AMBIENTE;COLABORADOR;TAP PORTUGAL;Plus
15.004;Artemis;BRA-0388;Brasil;Fortaleza;1.978,00;9;TREINAMENTO E DESENV.;COLABORADOR;LUFTHANSA;Gold
15.004;Artemis;BRA-1608;Brasil;Brejo da Madre de Deus;923;12;MANUFATURA;TEMPORÁRIO;AEROLINEAS ARGENTINAS;Gold
15.004;Artemis;BRA-0401;Brasil;Ipaporanga;1.715,00;7;MANUFATURA;COLABORADOR;AIR CANADÁ;Plus
15.004;Artemis;MEX-3202;México;México D.F.;1.367,00;10;AUDITORIA;TEMPORÁRIO;AVIANCA;Premium
15.004;Artemis;BRA-0952;Brasil;Grão Mogol;1.757,00;19;MANUFATURA;TEMPORÁRIO;ETIHAD AIRWAYS;Plus
15.004;Artemis;BRA-2395;Brasil;Restinga Seca;1.623,00;10;AUDITORIA;TERCEIRO;PASSAREDO LINHAS AÉREAS;Plus
15.004;Artemis;BRA-2591;Brasil;Paraíso;1.062,00;9;COMERCIO EXTERIOR;COLABORADOR;PASSAREDO LINHAS AÉREAS;Plus
15.004;Artemis;BRA-3068;Brasil;Votuporanga;1.195,00;11;CONTROLADORIA;TERCEIRO;LUFTHANSA;Gold
15.004;Artemis;BRA-1778;Brasil;Porto;860;7;CONTROLADORIA;COLABORADOR;UNITED AIRLINES;Gold
15.004;Artemis;BRA-0476;Brasil;Fundão;1.069,00;10;DESENV. DE EMBALAGENS;COLABORADOR;AIR CANADÁ;Plus
15.004;Artemis;BRA-3060;Brasil;Valparaíso;878;4;ENGENHARIA;COLABORADOR;UNITED AIRLINES;Gold
15.004;Artemis;BRA-2046;Brasil;Nova Iguaçu;781;14;GER LOGISTICA;TEMPORÁRIO;EMIRATES AIRLINE;Gold
15.004;Artemis;BRA-0379;Brasil;Coreaú;2.104,00;8;GER SUPRIMENTOS;COLABORADOR;AEROLINEAS ARGENTINAS;Gold
15.004;Artemis;VEN-3216;Venezuela;Ilha de Margarita;1.316,00;10;GER SUPRIMENTOS;TEMPORÁRIO;LAN CHILE;Premium
15.004;Artemis;BRA-0800;Brasil;Bandeira;1.419,00;14;GER SUPRIMENTOS;TERCEIRO;UNITED AIRLINES;Gold
15.004;Artemis;BRA-0798;Brasil;Astolfo Dutra;1.334,00;14;LOGISTICA;TERCEIRO;LUFTHANSA;Gold
15.004;Artemis;IRL-3198;Irlanda;Cork;984;13;LOGISTICA;TERCEIRO;UNITED AIRLINES;Gold
15.004;Artemis;BRA-2763;Brasil;Castilho;2.083,00;12;SEG. SAUDE E MEIO AMBIENTE;TEMPORÁRIO;DELTA AIRLINES;Premium
15.004;Artemis;BRA-2357;Brasil;Nova Petrópolis;2.098,00;1;TREINAMENTO E DESENV.;COLABORADOR;ETIHAD AIRWAYS;Plus
15.004;Artemis;BRA-0952;Brasil;Grão Mogol;1.757,00;19;MANUFATURA;TEMPORÁRIO;ETIHAD AIRWAYS;Plus
15.004;Artemis;BEL-3166;Bélgica;Bruxelles;1.590,00;2;MANUFATURA;TEMPORÁRIO;AMERICAN AIRLINES;Plus
15.004;Artemis;BRA-2422;Brasil;São José do Norte;2.013,00;2;AUDITORIA;TERCEIRO;AVIANCA;Premium
15.004;Artemis;BRA-1957;Brasil;Porecatu;1.765,00;16;CONTROLADORIA;TERCEIRO;AIR CANADÁ;Plus
15.004;Artemis;BRA-2932;Brasil;Paulistânia;918;18;CONTROLADORIA;TEMPORÁRIO;DELTA AIRLINES;Premium
15.004;Artemis;REI-3208;Reino Unido;Colchester;2.031,00;5;CONTROLADORIA;COLABORADOR;TURKISH AIRLINES INC;Plus
15.004;Artemis;BRA-0198;Brasil;Gandu;1.969,00;7;ENGENHARIA;TERCEIRO;AIR CANADÁ;Plus
15.004;Artemis;BRA-1631;Brasil;Itapissuma;1.021,00;14;ENGENHARIA;COLABORADOR;AIR CHINA;Plus
15.004;Artemis;BRA-1495;Brasil;Catingueira;1.341,00;3;GARANTIA DA QUALIDADE;COLABORADOR;AIR FRANCE;Premium
15.004;Artemis;BRA-1669;Brasil;Tacaimbó;770;15;GARANTIA DA QUALIDADE;TERCEIRO;DELTA AIRLINES;Premium
15.004;Artemis;BRA-2799;Brasil;Flora Rica;1.436,00;14;GER SUPRIMENTOS;TERCEIRO;ETIHAD AIRWAYS;Plus
15.004;Artemis;BRA-1579;Brasil;Sertãozinho;783;3;GER SUPRIMENTOS;TERCEIRO;TAP PORTUGAL;Plus
15.004;Artemis;BRA-0086;Brasil;Japurá;924;13;LOGISTICA;COLABORADOR;EMIRATES AIRLINE;Gold
15.004;Artemis;BRA-2779;Brasil;Descalvado;1.398,00;5;SEG. SAUDE E MEIO AMBIENTE;TEMPORÁRIO;BRITSH AIRWAYS;Plus
15.004;Artemis;BRA-2283;Brasil;Faxinal do Soturno;1.365,00;4;TREINAMENTO E DESENV.;TEMPORÁRIO;TURKISH AIRLINES INC;Plus
15.004;Artemis;BRA-2422;Brasil;São José do Norte;2.013,00;2;AUDITORIA;TERCEIRO;AVIANCA;Premium
15.004;Artemis;BRA-2603;Brasil;Presidente Getúlio;1.038,00;16;MANUFATURA;TEMPORÁRIO;CHINA EASTERN AIRLINES;Plus
15.004;Artemis;BRA-2261;Brasil;Dois Lajeados;1.456,00;19;MANUFATURA;COLABORADOR;TAP PORTUGAL;Plus
15.004;Artemis;VEN-3213;Venezuela;San Cristóbal;1.900,00;6;MANUFATURA;TEMPORÁRIO;UNITED AIRLINES;Gold
15.004;Artemis;BRA-1458;Brasil;Tomé-Açu;1.069,00;20;COMERCIO EXTERIOR;COLABORADOR;BRITSH AIRWAYS;Plus
15.004;Artemis;BRA-1623;Brasil;Feira Nova;863;14;CONTROLADORIA;TEMPORÁRIO;AIR EUROPA;Platinum
15.004;Artemis;BRA-2717;Brasil;Areias;879;7;CONTROLADORIA;COLABORADOR;PASSAREDO LINHAS AÉREAS;Plus
15.004;Artemis;BRA-0823;Brasil;Bueno Brandão;1.690,00;7;DESENV. DE EMBALAGENS;COLABORADOR;SETE LINHAS AEREAS S/A;Gold
15.004;Artemis;BRA-1977;Brasil;Rondon;1.159,00;17;ENGENHARIA;TERCEIRO;AIR FRANCE;Premium
15.004;Artemis;BRA-2538;Brasil;Imaruí;1.523,00;11;GER LOGISTICA;COLABORADOR;BRITSH AIRWAYS;Plus
15.004;Artemis;BRA-0727;Brasil;Passagem Franca;976;13;GARANTIA DA QUALIDADE;TERCEIRO;LAN CHILE;Premium
15.004;Artemis;BRA-1666;Brasil;Sirinhaém;2.156,00;20;GARANTIA DA QUALIDADE;TEMPORÁRIO;TAM LINHAS AÉREAS;Gold
15.004;Artemis;BRA-0359;Brasil;Altaneira;1.042,00;11;GER SUPRIMENTOS;TERCEIRO;CHINA EASTERN AIRLINES;Plus
15.004;Artemis;BRA-2180;Brasil;Ouro Preto do Oeste;761;6;GER SUPRIMENTOS;TERCEIRO;CHINA EASTERN AIRLINES;Plus
15.004;Artemis;BRA-1610;Brasil;Caetés;1.408,00;4;LOGISTICA;TERCEIRO;AVIANCA;Premium
15.004;Artemis;BRA-0526;Brasil;Avelinópolis;764;3;LOGISTICA;TERCEIRO;GOL LINHAS AÉREAS;Plus
15.004;Artemis;BRA-0647;Brasil;Trombas;1.011,00;3;LOGISTICA;TEMPORÁRIO;TAM LINHAS AÉREAS;Gold
15.004;Artemis;CAN-3169;Canadá;Vancouver;1.417,00;7;TREINAMENTO E DESENV.;TERCEIRO;AVIANCA;Premium
15.004;Artemis;CAN-3169;Canadá;Vancouver;1.417,00;14;TREINAMENTO E DESENV.;TERCEIRO;AVIANCA;Premium
15.004;Artemis;CAN-3169;Canadá;Vancouver;1.417,00;6;TREINAMENTO E DESENV.;TEMPORÁRIO;AZUL LINHAS AÉREAS BRASILEIRAS;Gold
15.004;Artemis;CAN-3169;Canadá;Vancouver;1.417,00;4;TREINAMENTO E DESENV.;TEMPORÁRIO;AZUL LINHAS AÉREAS BRASILEIRAS;Gold
15.004;Artemis;VEN-3215;Venezuela;Barquisimeto;699;12;TREINAMENTO E DESENV.;TEMPORÁRIO;BRITSH AIRWAYS;Plus
15.004;Artemis;BRA-0756;Brasil;São João do Soter;1.587,00;8;TREINAMENTO E DESENV.;TEMPORÁRIO;TAP PORTUGAL;Plus
15.004;Artemis;BRA-0929;Brasil;Estrela do Sul;1.347,00;15;MANUFATURA;COLABORADOR;AIR CHINA;Plus
15.004;Artemis;BRA-0181;Brasil;Cotegipe;2.194,00;3;MANUFATURA;TEMPORÁRIO;DELTA AIRLINES;Premium
15.004;Artemis;BRA-2261;Brasil;Dois Lajeados;1.456,00;19;MANUFATURA;COLABORADOR;TAP PORTUGAL;Plus
15.004;Artemis;VEN-3213;Venezuela;San Cristóbal;1.900,00;6;MANUFATURA;TEMPORÁRIO;UNITED AIRLINES;Gold
15.004;Artemis;BRA-2839;Brasil;Itapirapuã Paulista;1.281,00;16;MANUFATURA;TEMPORÁRIO;AIR CHINA;Plus
15.004;Artemis;BRA-1293;Brasil;Jateí;1.194,00;5;MANUFATURA;COLABORADOR;AVIANCA;Premium
15.004;Artemis;BRA-0755;Brasil;São João do Paraíso;902;11;MANUFATURA;COLABORADOR;DELTA AIRLINES;Premium
15.004;Artemis;BRA-0497;Brasil;Rio Novo do Sul;717;2;MANUFATURA;TERCEIRO;EMIRATES AIRLINE;Gold
15.004;Artemis;BRA-2736;Brasil;Biritiba Mirim;776;6;AUDITORIA;COLABORADOR;AIR EUROPA;Platinum
15.004;Artemis;BRA-2304;Brasil;Ibarama;1.863,00;16;COMERCIO EXTERIOR;COLABORADOR;DELTA AIRLINES;Premium
15.004;Artemis;BRA-0067;Brasil;Teotônio Vilela;2.174,00;6;CONTROLADORIA;COLABORADOR;LAN CHILE;Premium
15.004;Artemis;VEN-3215;Venezuela;Barquisimeto;699;10;GER LOGISTICA;COLABORADOR;EMIRATES AIRLINE;Gold
15.004;Artemis;MEX-3202;México;México D.F.;1.367,00;9;GER LOGISTICA;TEMPORÁRIO;EMIRATES AIRLINE;Gold
15.004;Artemis;BRA-1796;Brasil;São José do Peixe;1.517,00;13;GARANTIA DA QUALIDADE;TERCEIRO;AMERICAN AIRLINES;Plus
15.004;Artemis;BRA-1673;Brasil;Timbaúba;909;10;GARANTIA DA QUALIDADE;TEMPORÁRIO;AMERICAN AIRLINES;Plus
15.004;Artemis;BRA-0317;Brasil;São Francisco do Conde;2.117,00;1;GARANTIA DA QUALIDADE;COLABORADOR;BRITSH AIRWAYS;Plus
15.004;Artemis;BRA-0885;Brasil;Conselheiro Lafaiete;1.195,00;16;GER SUPRIMENTOS;TERCEIRO;AIR FRANCE;Premium
15.004;Artemis;BRA-0227;Brasil;Itapetinga;1.706,00;13;GER SUPRIMENTOS;COLABORADOR;AMERICAN AIRLINES;Plus
15.004;Artemis;BRA-1573;Brasil;São Sebastião de Lagoa de Roça;740;13;GER SUPRIMENTOS;TERCEIRO;LUFTHANSA;Gold
